0,1,2,3,Total
0,0,0,0,0.0
0,0,0,0,0.0
TPS 001,0,0,0,0.0
TPS 002,0,0,0,0.0
TPS 003,0,0,0,0.0
TPS 004,0,0,0,0.0
TPS 005,5,276,4,285.0
TPS 006,0,0,0,0.0
TPS 007,8,254,0,262.0
TPS 008,0,0,0,0.0
TPS 009,0,265,0,265.0
TPS 010,0,0,0,0.0
TPS 011,0,0,0,0.0
TPS 012,0,0,0,0.0
TPS 013,13,197,0,210.0
TPS 014,0,0,0,0.0
TPS 015,24,268,0,292.0
TPS 016,14,241,1,256.0
TPS 017,0,0,0,0.0
TPS 018,11,264,0,275.0
TPS 019,6,295,0,301.0
TPS 020,3,220,82,305.0
TPS 021,0,0,0,0.0
TPS 022,0,0,0,0.0
TPS 023,0,0,0,0.0
TPS 024,0,0,0,0.0
TPS 025,0,0,0,0.0
TPS 026,2,276,0,278.0
TPS 027,0,0,0,0.0
TPS 028,1,271,0,272.0
TPS 029,2,274,0,276.0
TPS 030,0,0,0,0.0
TPS 031,8,256,0,264.0
TPS 032,21,252,0,273.0
TPS 033,0,0,0,0.0
TPS 034,12,268,1,281.0
TPS 035,16,280,4,300.0
TPS 036,0,186,0,186.0
TPS 037,0,0,0,0.0
