0,1,2,3,Total
0,0,0,0,0.0
0,0,0,0,0.0
TPS 001,0,0,0,0.0
TPS 002,0,0,0,0.0
TPS 003,0,0,0,0.0
TPS 004,0,0,0,0.0
TPS 005,0,0,0,0.0
TPS 006,148,64,5,217.0
TPS 007,0,0,0,0.0
TPS 008,0,0,0,0.0
TPS 009,0,0,0,0.0
TPS 010,0,0,0,0.0
TPS 011,0,0,0,0.0
TPS 012,0,0,0,0.0
TPS 013,0,0,0,0.0
TPS 014,0,0,0,0.0
TPS 015,0,0,0,0.0
TPS 016,0,0,0,0.0
TPS 017,0,0,0,0.0
TPS 018,0,0,0,0.0
TPS 019,0,0,0,0.0
TPS 020,0,0,0,0.0
TPS 021,0,0,0,0.0
TPS 022,0,0,0,0.0
TPS 023,86,92,31,209.0
TPS 024,75,415,13,503.0
TPS 025,0,0,0,0.0
TPS 026,104,185,0,289.0
TPS 027,0,0,0,0.0
TPS 028,0,0,0,0.0
TPS 029,0,0,0,0.0
TPS 030,82,94,14,190.0
TPS 031,0,0,0,0.0
TPS 032,0,0,0,0.0
TPS 033,0,0,0,0.0
TPS 034,0,0,0,0.0
TPS 035,0,0,0,0.0
TPS 036,0,0,0,0.0
TPS 037,80,113,13,206.0
TPS 038,0,0,0,0.0
TPS 039,85,119,8,212.0
TPS 040,0,0,0,0.0
TPS 041,0,0,0,0.0
TPS 042,120,92,15,227.0
TPS 043,111,516,20,647.0
TPS 044,0,0,0,0.0
TPS 045,0,0,0,0.0
TPS 046,0,0,0,0.0
TPS 047,0,0,0,0.0
TPS 048,0,0,0,0.0
TPS 049,0,0,0,0.0
TPS 050,133,70,31,234.0
TPS 051,0,0,0,0.0
TPS 052,0,0,0,0.0
TPS 053,0,0,0,0.0
TPS 054,0,0,0,0.0
TPS 055,0,0,0,0.0
TPS 056,0,0,0,0.0
TPS 057,88,87,16,191.0
TPS 058,0,0,0,0.0
TPS 059,0,0,0,0.0
TPS 060,0,0,0,0.0
TPS 061,0,0,0,0.0
TPS 062,98,84,35,217.0
TPS 063,0,0,0,0.0
TPS 064,0,0,0,0.0
TPS 065,74,61,42,177.0
TPS 066,0,0,0,0.0
TPS 067,0,0,0,0.0
TPS 068,0,0,0,0.0
TPS 069,0,0,0,0.0
TPS 070,0,0,0,0.0
TPS 071,0,0,0,0.0
TPS 072,0,0,0,0.0
TPS 073,0,0,0,0.0
TPS 074,0,0,0,0.0
TPS 075,0,0,0,0.0
TPS 076,0,0,0,0.0
TPS 077,0,0,0,0.0
