0,1,2,3,Total
0,0,0,0,0.0
0,0,0,0,0.0
TPS 001,0,0,0,0.0
TPS 002,0,0,0,0.0
TPS 003,0,0,0,0.0
TPS 004,0,0,0,0.0
TPS 005,575,27,273,875.0
TPS 006,0,0,0,0.0
TPS 007,77,124,9,210.0
TPS 008,0,0,0,0.0
TPS 009,108,68,14,190.0
TPS 010,0,0,0,0.0
TPS 011,63,126,11,200.0
TPS 012,54,87,3,144.0
TPS 013,0,0,0,0.0
TPS 014,76,109,19,204.0
TPS 015,97,115,10,222.0
TPS 016,0,0,0,0.0
TPS 017,0,0,0,0.0
TPS 018,0,0,0,0.0
TPS 019,77,123,33,233.0
TPS 020,0,0,0,0.0
TPS 021,0,0,0,0.0
TPS 022,0,0,0,0.0
TPS 023,80,114,28,222.0
TPS 024,0,0,0,0.0
TPS 025,0,0,0,0.0
TPS 026,0,0,0,0.0
TPS 027,52,103,8,163.0
TPS 028,0,0,0,0.0
TPS 029,0,0,0,0.0
TPS 030,30,105,19,154.0
TPS 031,0,0,0,0.0
TPS 032,65,165,24,254.0
TPS 033,0,0,0,0.0
TPS 034,0,0,0,0.0
TPS 035,0,0,0,0.0
TPS 036,0,0,0,0.0
TPS 037,77,125,11,213.0
TPS 038,0,0,0,0.0
TPS 039,0,0,0,0.0
TPS 040,0,0,0,0.0
TPS 041,112,101,7,220.0
TPS 042,0,0,0,0.0
TPS 043,0,0,0,0.0
TPS 044,0,0,0,0.0
TPS 045,118,86,14,218.0
TPS 046,0,0,0,0.0
TPS 047,0,0,0,0.0
TPS 048,49,79,16,144.0
TPS 049,0,0,0,0.0
TPS 050,0,0,0,0.0
TPS 051,0,0,0,0.0
TPS 052,0,0,0,0.0
TPS 053,64,116,10,190.0
