0,1,2,3,Total
0,0,0,0,0.0
0,0,0,0,0.0
TPS 001,0,0,0,0.0
TPS 002,0,0,0,0.0
TPS 003,0,0,0,0.0
TPS 004,94,149,18,261.0
TPS 005,0,0,0,0.0
TPS 006,0,0,0,0.0
TPS 007,0,0,0,0.0
TPS 008,0,0,0,0.0
TPS 009,89,88,13,190.0
TPS 010,0,0,0,0.0
TPS 011,0,0,0,0.0
TPS 012,98,136,16,250.0
TPS 013,0,0,0,0.0
TPS 014,0,0,0,0.0
TPS 015,0,0,0,0.0
TPS 016,0,0,0,0.0
TPS 017,0,0,0,0.0
TPS 018,0,0,0,0.0
TPS 019,0,0,0,0.0
TPS 020,0,0,0,0.0
TPS 021,93,148,30,271.0
TPS 022,0,0,0,0.0
TPS 023,0,0,0,0.0
TPS 024,0,0,0,0.0
TPS 025,0,0,0,0.0
TPS 026,46,453,0,499.0
TPS 027,0,0,0,0.0
TPS 028,0,0,0,0.0
TPS 029,84,143,15,242.0
TPS 030,0,0,0,0.0
TPS 031,0,0,0,0.0
TPS 032,0,0,0,0.0
TPS 033,0,0,0,0.0
TPS 034,0,0,0,0.0
TPS 035,0,0,0,0.0
TPS 036,49,148,3,200.0
TPS 037,0,0,0,0.0
TPS 038,0,0,0,0.0
TPS 039,0,0,0,0.0
TPS 040,0,0,0,0.0
TPS 041,0,0,0,0.0
TPS 042,0,0,0,0.0
TPS 043,0,0,0,0.0
TPS 044,0,0,0,0.0
TPS 045,70,105,18,193.0
TPS 046,90,86,21,197.0
TPS 047,0,0,0,0.0
TPS 048,0,0,0,0.0
TPS 049,0,0,0,0.0
TPS 050,0,0,0,0.0
TPS 051,0,0,0,0.0
TPS 052,0,0,0,0.0
TPS 053,0,0,0,0.0
TPS 054,0,0,0,0.0
TPS 055,0,0,0,0.0
TPS 056,0,0,0,0.0
TPS 057,0,0,0,0.0
TPS 058,0,0,0,0.0
TPS 059,0,0,0,0.0
TPS 060,0,0,0,0.0
TPS 061,0,0,0,0.0
TPS 062,0,0,0,0.0
TPS 063,0,0,0,0.0
TPS 064,0,0,0,0.0
TPS 065,0,0,0,0.0
TPS 066,0,0,0,0.0
TPS 067,0,0,0,0.0
TPS 068,0,0,0,0.0
TPS 069,0,0,0,0.0
TPS 070,0,0,0,0.0
TPS 071,0,0,0,0.0
TPS 072,0,0,0,0.0
TPS 073,0,0,0,0.0
TPS 074,109,67,33,209.0
TPS 075,113,94,37,244.0
