0,1,2,3,Total
0,0,0,0,0.0
0,0,0,0,0.0
TPS 001,0,0,0,0.0
TPS 002,65,140,22,227.0
TPS 003,0,0,0,0.0
TPS 004,76,117,30,223.0
TPS 005,0,0,0,0.0
TPS 006,0,0,0,0.0
TPS 007,0,0,0,0.0
TPS 008,0,0,0,0.0
TPS 009,0,0,0,0.0
TPS 010,0,0,0,0.0
TPS 011,114,114,15,243.0
TPS 012,0,0,0,0.0
TPS 013,0,0,0,0.0
TPS 014,112,84,21,217.0
TPS 015,0,0,0,0.0
TPS 016,0,0,0,0.0
TPS 017,0,0,0,0.0
TPS 018,82,113,20,215.0
TPS 019,0,0,0,0.0
TPS 020,0,0,0,0.0
TPS 021,0,0,0,0.0
TPS 022,0,0,0,0.0
TPS 023,124,94,26,244.0
TPS 024,0,0,0,0.0
TPS 025,96,95,25,216.0
TPS 026,0,0,0,0.0
TPS 027,0,0,0,0.0
TPS 028,0,0,0,0.0
TPS 029,0,0,0,0.0
TPS 030,0,0,0,0.0
TPS 031,115,94,19,228.0
TPS 032,0,0,0,0.0
TPS 033,0,0,0,0.0
TPS 034,0,0,0,0.0
TPS 035,0,0,0,0.0
TPS 036,0,0,0,0.0
TPS 037,0,0,0,0.0
TPS 038,0,0,0,0.0
TPS 039,0,0,0,0.0
TPS 040,82,610,16,708.0
TPS 041,71,114,15,200.0
TPS 042,0,0,0,0.0
TPS 043,48,120,21,189.0
TPS 044,0,0,0,0.0
TPS 045,0,0,0,0.0
TPS 046,33,142,24,199.0
TPS 047,0,0,0,0.0
TPS 048,0,0,0,0.0
TPS 049,67,100,12,179.0
TPS 050,0,0,0,0.0
TPS 051,0,0,0,0.0
TPS 052,0,0,0,0.0
TPS 053,0,0,0,0.0
TPS 054,0,0,0,0.0
TPS 055,73,135,22,230.0
TPS 056,0,0,0,0.0
TPS 057,0,0,0,0.0
TPS 058,0,0,0,0.0
TPS 059,0,0,0,0.0
TPS 060,0,0,0,0.0
TPS 061,0,0,0,0.0
TPS 062,0,0,0,0.0
TPS 063,0,0,0,0.0
TPS 064,0,0,0,0.0
TPS 065,0,0,0,0.0
TPS 066,90,106,22,218.0
TPS 067,0,0,0,0.0
TPS 068,0,0,0,0.0
TPS 069,0,0,0,0.0
TPS 070,0,0,0,0.0
TPS 071,0,0,0,0.0
TPS 072,0,0,0,0.0
TPS 073,0,0,0,0.0
TPS 074,0,0,0,0.0
TPS 075,0,0,0,0.0
TPS 076,0,0,0,0.0
TPS 077,0,0,0,0.0
TPS 078,0,0,0,0.0
