0,1,2,3,Total
0,0,0,0,0.0
0,0,0,0,0.0
TPS 001,0,0,0,0.0
TPS 002,0,0,0,0.0
TPS 003,70,111,14,195.0
TPS 004,0,0,0,0.0
TPS 005,0,0,0,0.0
TPS 006,0,0,0,0.0
TPS 007,95,141,10,246.0
TPS 008,0,0,0,0.0
TPS 009,0,0,0,0.0
TPS 010,0,0,0,0.0
TPS 011,97,140,2,239.0
TPS 012,102,125,12,239.0
TPS 013,0,0,0,0.0
TPS 014,0,0,0,0.0
TPS 015,81,132,18,231.0
TPS 016,123,100,8,231.0
TPS 017,91,115,4,210.0
TPS 018,0,0,0,0.0
TPS 019,0,0,0,0.0
TPS 020,0,0,0,0.0
TPS 021,0,0,0,0.0
TPS 022,0,0,0,0.0
TPS 023,0,0,0,0.0
TPS 024,0,0,0,0.0
TPS 025,0,0,0,0.0
TPS 026,0,0,0,0.0
TPS 027,0,0,0,0.0
TPS 028,0,0,0,0.0
TPS 029,0,0,0,0.0
TPS 030,0,0,0,0.0
TPS 031,0,0,0,0.0
TPS 032,0,0,0,0.0
TPS 033,101,143,15,259.0
TPS 034,95,120,21,236.0
TPS 035,0,0,0,0.0
TPS 036,85,274,18,377.0
TPS 037,131,104,10,245.0
TPS 038,60,59,13,132.0
TPS 039,103,89,18,210.0
TPS 040,0,0,0,0.0
TPS 041,0,0,0,0.0
TPS 042,0,0,0,0.0
TPS 043,0,0,0,0.0
TPS 044,0,0,0,0.0
TPS 045,0,0,0,0.0
TPS 046,0,0,0,0.0
TPS 047,0,0,0,0.0
TPS 048,0,0,0,0.0
TPS 049,23,772,11,806.0
TPS 050,100,114,14,228.0
TPS 051,0,0,0,0.0
TPS 052,0,0,0,0.0
TPS 053,0,0,0,0.0
TPS 054,94,109,22,225.0
TPS 055,0,0,0,0.0
TPS 056,67,115,11,193.0
TPS 057,0,0,0,0.0
TPS 058,0,0,0,0.0
TPS 059,0,0,0,0.0
TPS 060,113,57,34,204.0
TPS 061,0,0,0,0.0
TPS 062,0,0,0,0.0
TPS 063,0,0,0,0.0
TPS 064,0,0,0,0.0
TPS 065,0,0,0,0.0
TPS 066,645,85,29,759.0
TPS 067,143,90,37,270.0
TPS 068,0,0,0,0.0
TPS 069,139,78,19,236.0
TPS 070,0,0,0,0.0
TPS 071,128,99,27,254.0
TPS 072,0,0,0,0.0
TPS 073,0,0,0,0.0
TPS 074,0,0,0,0.0
TPS 075,0,0,0,0.0
TPS 076,0,0,0,0.0
TPS 077,132,82,21,235.0
TPS 078,0,0,0,0.0
TPS 079,0,0,0,0.0
TPS 080,78,132,17,227.0
TPS 081,45,106,17,168.0
TPS 082,0,0,0,0.0
TPS 083,0,0,0,0.0
TPS 084,39,78,14,131.0
TPS 085,0,0,0,0.0
TPS 086,0,0,0,0.0
TPS 087,0,0,0,0.0
TPS 088,0,0,0,0.0
TPS 089,0,0,0,0.0
TPS 090,0,0,0,0.0
TPS 091,96,50,17,163.0
