0,1,2,3,Total
0,0,0,0,0.0
0,0,0,0,0.0
TPS 001,0,0,0,0.0
TPS 002,0,0,0,0.0
TPS 003,0,0,0,0.0
TPS 004,0,0,0,0.0
TPS 005,0,0,0,0.0
TPS 006,0,0,0,0.0
TPS 007,0,0,0,0.0
TPS 008,118,78,32,228.0
TPS 009,0,0,0,0.0
TPS 010,0,0,0,0.0
TPS 011,0,0,0,0.0
TPS 012,71,109,10,190.0
TPS 013,0,0,0,0.0
TPS 014,84,146,20,250.0
TPS 015,81,97,13,191.0
TPS 016,0,0,0,0.0
TPS 017,0,0,0,0.0
TPS 018,0,0,0,0.0
TPS 019,44,99,15,158.0
TPS 020,0,0,0,0.0
TPS 021,0,0,0,0.0
TPS 022,0,0,0,0.0
TPS 023,0,0,0,0.0
TPS 024,0,0,0,0.0
TPS 025,0,0,0,0.0
TPS 026,0,0,0,0.0
TPS 027,0,0,0,0.0
TPS 028,244,772,828,1844.0
TPS 029,0,0,0,0.0
TPS 030,0,0,0,0.0
TPS 031,39,130,13,182.0
TPS 032,74,101,18,193.0
TPS 033,57,137,31,225.0
TPS 034,0,0,0,0.0
TPS 035,0,0,0,0.0
TPS 036,0,0,0,0.0
TPS 037,0,0,0,0.0
TPS 038,0,0,0,0.0
TPS 039,0,0,0,0.0
TPS 040,0,0,0,0.0
TPS 041,0,0,0,0.0
TPS 042,71,99,21,191.0
TPS 043,82,98,33,213.0
TPS 044,0,0,0,0.0
TPS 045,0,0,0,0.0
TPS 046,0,0,0,0.0
TPS 047,0,0,0,0.0
TPS 048,67,49,38,154.0
TPS 049,0,0,0,0.0
TPS 050,46,42,27,115.0
TPS 051,0,0,0,0.0
