0,1,2,3,Total
0,0,0,0,0.0
0,0,0,0,0.0
TPS 001,120,409,17,546.0
TPS 002,111,104,22,237.0
TPS 003,78,79,3,160.0
TPS 004,93,121,21,235.0
TPS 005,89,95,29,213.0
TPS 006,64,97,9,170.0
TPS 007,0,0,0,0.0
TPS 008,0,0,0,0.0
TPS 009,0,0,0,0.0
TPS 010,0,0,0,0.0
TPS 011,0,0,0,0.0
TPS 012,0,0,0,0.0
TPS 013,123,115,10,248.0
TPS 014,0,0,0,0.0
TPS 015,101,123,15,239.0
TPS 016,0,0,0,0.0
TPS 017,0,0,0,0.0
TPS 018,117,109,15,241.0
TPS 019,0,0,0,0.0
TPS 020,96,72,6,174.0
TPS 021,80,54,4,138.0
TPS 022,0,0,0,0.0
TPS 023,0,0,0,0.0
TPS 024,91,128,15,234.0
TPS 025,63,102,24,189.0
TPS 026,0,0,0,0.0
TPS 027,0,0,0,0.0
TPS 028,0,0,0,0.0
TPS 029,0,0,0,0.0
TPS 030,93,109,17,219.0
TPS 031,0,0,0,0.0
TPS 032,93,137,8,238.0
TPS 033,0,0,0,0.0
TPS 034,150,104,10,264.0
TPS 035,0,0,0,0.0
TPS 036,114,117,18,249.0
TPS 037,0,0,0,0.0
TPS 038,0,0,0,0.0
TPS 039,0,0,0,0.0
TPS 040,0,0,0,0.0
TPS 041,0,0,0,0.0
TPS 042,41,63,7,111.0
TPS 043,0,0,0,0.0
TPS 044,121,99,25,245.0
TPS 045,0,0,0,0.0
TPS 046,106,107,31,244.0
TPS 047,0,0,0,0.0
TPS 901,0,0,0,0.0
TPS 902,37,228,24,289.0
