0,1,2,3,Total
0,0,0,0,0.0
0,0,0,0,0.0
TPS 001,0,0,0,0.0
TPS 002,0,0,0,0.0
TPS 003,121,134,5,260.0
TPS 004,0,0,0,0.0
TPS 005,0,0,0,0.0
TPS 006,120,83,30,233.0
TPS 007,110,113,17,240.0
TPS 008,0,0,0,0.0
TPS 009,0,0,0,0.0
TPS 010,68,127,9,204.0
TPS 011,0,0,0,0.0
TPS 012,0,0,0,0.0
TPS 013,0,0,0,0.0
TPS 014,0,0,0,0.0
TPS 015,94,130,26,250.0
TPS 016,0,0,0,0.0
TPS 017,102,133,18,253.0
TPS 018,0,0,0,0.0
TPS 019,0,0,0,0.0
TPS 020,85,127,25,237.0
TPS 021,0,0,0,0.0
TPS 022,41,414,40,495.0
TPS 023,0,0,0,0.0
TPS 024,104,158,11,273.0
TPS 025,0,0,0,0.0
TPS 026,0,0,0,0.0
TPS 027,0,0,0,0.0
TPS 028,0,0,0,0.0
TPS 029,0,0,0,0.0
TPS 030,131,99,7,237.0
TPS 031,124,82,13,219.0
TPS 032,0,0,0,0.0
TPS 033,0,0,0,0.0
TPS 034,128,90,55,273.0
TPS 035,0,0,0,0.0
TPS 036,0,0,0,0.0
TPS 037,44,154,17,215.0
