0,1,2,3,Total
0,0,0,0,0.0
0,0,0,0,0.0
TPS 001,0,0,0,0.0
TPS 002,74,160,7,241.0
TPS 003,112,635,7,754.0
TPS 004,96,160,7,263.0
TPS 005,106,158,5,269.0
TPS 006,0,0,0,0.0
TPS 007,56,86,5,147.0
TPS 008,61,168,9,238.0
TPS 009,0,0,0,0.0
TPS 010,0,0,0,0.0
TPS 011,0,0,0,0.0
TPS 012,80,153,6,239.0
TPS 013,57,182,8,247.0
TPS 014,45,459,20,524.0
TPS 015,50,132,5,187.0
TPS 016,874,170,402,1446.0
TPS 017,69,173,8,250.0
TPS 018,0,0,0,0.0
TPS 019,222,21,243,486.0
TPS 020,0,0,0,0.0
TPS 021,0,0,0,0.0
TPS 022,89,127,19,235.0
TPS 023,88,132,5,225.0
TPS 024,0,0,0,0.0
TPS 025,61,159,11,231.0
TPS 026,0,0,0,0.0
TPS 027,91,147,12,250.0
TPS 028,89,158,18,265.0
TPS 029,0,0,0,0.0
TPS 030,0,0,0,0.0
TPS 031,0,0,0,0.0
TPS 032,0,0,0,0.0
TPS 033,73,134,13,220.0
TPS 034,61,86,15,162.0
