0,1,2,3,Total
0,0,0,0,0.0
0,0,0,0,0.0
TPS 001,0,0,0,0.0
TPS 002,0,0,0,0.0
TPS 003,0,0,0,0.0
TPS 004,0,0,0,0.0
TPS 005,0,0,0,0.0
TPS 006,0,0,0,0.0
TPS 007,73,112,21,206.0
TPS 008,94,124,14,232.0
TPS 009,0,0,0,0.0
TPS 010,0,0,0,0.0
TPS 011,0,0,0,0.0
TPS 012,0,0,0,0.0
TPS 013,0,0,0,0.0
TPS 014,0,0,0,0.0
TPS 015,0,0,0,0.0
TPS 016,0,0,0,0.0
TPS 017,0,0,0,0.0
TPS 018,0,0,0,0.0
TPS 019,0,0,0,0.0
TPS 020,0,0,0,0.0
TPS 021,0,0,0,0.0
TPS 022,0,0,0,0.0
TPS 023,0,0,0,0.0
TPS 024,0,0,0,0.0
TPS 025,0,0,0,0.0
TPS 026,85,150,16,251.0
TPS 027,85,121,21,227.0
TPS 028,69,141,17,227.0
TPS 029,0,0,0,0.0
TPS 030,100,97,25,222.0
TPS 031,0,0,0,0.0
TPS 032,0,0,0,0.0
TPS 033,83,110,17,210.0
TPS 034,66,128,18,212.0
TPS 035,0,0,0,0.0
TPS 036,75,729,20,824.0
TPS 037,0,0,0,0.0
TPS 038,0,0,0,0.0
TPS 039,0,0,0,0.0
TPS 040,0,0,0,0.0
TPS 041,0,0,0,0.0
TPS 042,0,0,0,0.0
TPS 043,78,121,14,213.0
TPS 044,0,0,0,0.0
TPS 045,0,0,0,0.0
TPS 046,82,119,26,227.0
TPS 047,0,0,0,0.0
