0,1,2,3,Total
0,0,0,0,0.0
0,0,0,0,0.0
TPS 001,0,0,0,0.0
TPS 002,100,157,5,262.0
TPS 003,0,0,0,0.0
TPS 004,72,74,4,150.0
TPS 005,0,0,0,0.0
TPS 006,64,143,25,232.0
TPS 007,94,120,24,238.0
TPS 008,0,0,0,0.0
TPS 009,0,0,0,0.0
TPS 010,0,0,0,0.0
TPS 011,114,141,11,266.0
TPS 012,0,0,0,0.0
TPS 013,151,97,3,251.0
TPS 014,0,0,0,0.0
TPS 015,108,555,595,1258.0
TPS 016,97,139,4,240.0
TPS 017,0,0,0,0.0
TPS 018,0,0,0,0.0
TPS 019,68,146,13,227.0
TPS 020,0,0,0,0.0
TPS 021,101,115,11,227.0
TPS 022,118,98,4,220.0
TPS 023,0,0,0,0.0
TPS 024,0,0,0,0.0
TPS 025,103,93,18,214.0
TPS 026,0,0,0,0.0
TPS 027,44,150,7,201.0
TPS 028,83,144,8,235.0
TPS 029,0,0,0,0.0
TPS 030,0,0,0,0.0
TPS 031,0,0,0,0.0
TPS 032,0,0,0,0.0
