0,1,2,3,Total
0,0,0,0,0.0
0,0,0,0,0.0
TPS 001,0,0,0,0.0
TPS 002,61,145,12,218.0
TPS 003,0,0,0,0.0
TPS 004,67,120,17,204.0
TPS 005,0,0,0,0.0
TPS 006,0,0,0,0.0
TPS 007,0,0,0,0.0
TPS 008,0,0,0,0.0
TPS 009,0,0,0,0.0
TPS 010,0,0,0,0.0
TPS 011,0,0,0,0.0
TPS 012,0,0,0,0.0
TPS 013,71,151,15,237.0
TPS 014,46,137,23,206.0
TPS 015,0,0,0,0.0
TPS 016,69,69,55,193.0
TPS 017,67,54,26,147.0
TPS 018,0,0,0,0.0
TPS 019,60,30,16,106.0
TPS 020,0,0,0,0.0
TPS 021,0,0,0,0.0
TPS 022,89,53,22,164.0
TPS 023,104,56,34,194.0
TPS 024,0,0,0,0.0
TPS 025,0,0,0,0.0
TPS 026,45,54,39,138.0
TPS 027,0,0,0,0.0
TPS 028,83,82,53,218.0
TPS 029,0,0,0,0.0
TPS 030,69,422,10,501.0
TPS 031,0,0,0,0.0
TPS 032,62,125,15,202.0
TPS 033,0,0,0,0.0
TPS 034,0,0,0,0.0
TPS 035,0,0,0,0.0
TPS 036,0,0,0,0.0
TPS 037,69,30,16,115.0
TPS 038,0,0,0,0.0
TPS 039,0,0,0,0.0
TPS 040,0,0,0,0.0
TPS 041,0,0,0,0.0
TPS 042,67,62,27,156.0
TPS 043,86,43,22,151.0
TPS 044,59,59,30,148.0
TPS 045,0,0,0,0.0
TPS 046,78,49,31,158.0
TPS 047,81,43,34,158.0
TPS 048,0,0,0,0.0
TPS 049,0,0,0,0.0
TPS 050,0,0,0,0.0
TPS 051,0,0,0,0.0
TPS 052,101,49,28,178.0
TPS 053,0,0,0,0.0
TPS 054,0,0,0,0.0
TPS 055,94,67,40,201.0
TPS 056,85,72,36,193.0
TPS 057,71,58,45,174.0
TPS 058,0,0,0,0.0
TPS 059,60,63,30,153.0
TPS 060,0,0,0,0.0
TPS 061,0,0,0,0.0
TPS 062,78,38,27,143.0
TPS 063,0,0,0,0.0
TPS 064,101,59,27,187.0
TPS 065,0,0,0,0.0
TPS 066,0,0,0,0.0
TPS 067,0,0,0,0.0
TPS 068,0,0,0,0.0
TPS 069,0,0,0,0.0
TPS 070,0,0,0,0.0
TPS 071,0,0,0,0.0
TPS 072,58,61,31,150.0
TPS 073,0,0,0,0.0
TPS 074,77,94,23,194.0
TPS 075,0,0,0,0.0
TPS 076,84,48,19,151.0
TPS 077,81,62,32,175.0
TPS 078,456,418,416,1290.0
TPS 079,0,0,0,0.0
TPS 080,0,0,0,0.0
TPS 081,75,66,44,185.0
TPS 082,68,80,43,191.0
TPS 083,74,63,22,159.0
TPS 084,93,63,24,180.0
TPS 085,71,82,48,201.0
TPS 086,0,0,0,0.0
TPS 087,0,0,0,0.0
TPS 088,97,54,31,182.0
TPS 089,0,0,0,0.0
TPS 090,100,80,31,211.0
TPS 091,132,91,25,248.0
TPS 092,0,0,0,0.0
TPS 093,84,70,35,189.0
TPS 094,122,71,16,209.0
TPS 095,0,0,0,0.0
TPS 096,0,0,0,0.0
TPS 097,87,48,39,174.0
TPS 098,0,0,0,0.0
TPS 099,86,63,28,177.0
TPS 100,0,0,0,0.0
TPS 101,0,0,0,0.0
TPS 102,0,0,0,0.0
TPS 103,91,90,18,199.0
TPS 104,86,84,20,190.0
TPS 105,0,0,0,0.0
TPS 106,98,95,15,208.0
TPS 107,0,0,0,0.0
TPS 108,85,61,23,169.0
TPS 109,0,0,0,0.0
TPS 110,0,0,0,0.0
TPS 111,0,0,0,0.0
TPS 112,88,80,10,178.0
TPS 113,74,93,21,188.0
TPS 114,0,0,0,0.0
TPS 115,0,0,0,0.0
TPS 116,0,0,0,0.0
TPS 117,0,0,0,0.0
TPS 118,0,0,0,0.0
TPS 119,0,0,0,0.0
TPS 120,0,0,0,0.0
TPS 121,0,0,0,0.0
TPS 122,30,551,813,1394.0
TPS 123,58,85,13,156.0
TPS 124,93,43,10,146.0
TPS 125,0,0,0,0.0
TPS 126,0,0,0,0.0
TPS 127,40,101,16,157.0
TPS 128,40,126,7,173.0
TPS 129,45,82,18,145.0
TPS 130,27,120,6,153.0
TPS 131,36,115,9,160.0
TPS 132,37,103,14,154.0
