0,1,2,3,Total
0,0,0,0,0.0
0,0,0,0,0.0
TPS 001,0,0,0,0.0
TPS 002,0,0,0,0.0
TPS 003,0,0,0,0.0
TPS 004,0,0,0,0.0
TPS 005,0,0,0,0.0
TPS 006,79,129,15,223.0
TPS 007,0,0,0,0.0
TPS 008,74,738,8,820.0
TPS 009,0,0,0,0.0
TPS 010,33,103,8,144.0
TPS 011,26,115,11,152.0
TPS 012,30,121,4,155.0
TPS 013,0,0,0,0.0
TPS 014,45,106,12,163.0
TPS 015,0,0,0,0.0
TPS 016,0,0,0,0.0
TPS 017,0,0,0,0.0
TPS 018,43,116,24,183.0
TPS 019,43,143,13,199.0
TPS 020,0,0,0,0.0
TPS 021,34,86,3,123.0
TPS 022,0,0,0,0.0
TPS 023,48,150,9,207.0
TPS 024,0,0,0,0.0
TPS 025,0,0,0,0.0
TPS 026,0,0,0,0.0
TPS 027,0,0,0,0.0
TPS 028,0,0,0,0.0
TPS 029,0,0,0,0.0
TPS 030,0,0,0,0.0
TPS 031,33,150,3,186.0
TPS 032,0,0,0,0.0
TPS 033,0,0,0,0.0
TPS 034,0,0,0,0.0
TPS 035,0,0,0,0.0
TPS 036,0,0,0,0.0
TPS 037,0,0,0,0.0
TPS 038,0,0,0,0.0
TPS 039,0,0,0,0.0
TPS 040,49,135,17,201.0
TPS 041,0,0,0,0.0
TPS 042,0,0,0,0.0
TPS 043,0,0,0,0.0
TPS 044,0,0,0,0.0
TPS 045,0,0,0,0.0
TPS 046,42,103,14,159.0
TPS 047,0,0,0,0.0
TPS 048,0,0,0,0.0
TPS 049,0,0,0,0.0
TPS 050,0,0,0,0.0
TPS 051,0,0,0,0.0
TPS 052,0,0,0,0.0
TPS 053,0,0,0,0.0
TPS 054,0,0,0,0.0
TPS 055,0,0,0,0.0
TPS 056,0,0,0,0.0
TPS 057,51,124,21,196.0
TPS 058,0,0,0,0.0
TPS 059,90,115,9,214.0
TPS 060,0,0,0,0.0
TPS 061,0,0,0,0.0
TPS 062,0,0,0,0.0
TPS 063,0,0,0,0.0
TPS 064,0,0,0,0.0
TPS 065,0,0,0,0.0
TPS 066,0,0,0,0.0
TPS 067,0,0,0,0.0
TPS 068,0,0,0,0.0
TPS 069,0,0,0,0.0
TPS 070,0,0,0,0.0
TPS 071,0,0,0,0.0
TPS 072,0,0,0,0.0
TPS 073,0,0,0,0.0
TPS 074,55,59,46,160.0
TPS 075,0,0,0,0.0
TPS 076,38,80,45,163.0
TPS 077,0,0,0,0.0
TPS 078,105,73,40,218.0
TPS 079,0,0,0,0.0
TPS 080,53,146,23,222.0
TPS 081,0,0,0,0.0
TPS 082,0,0,0,0.0
TPS 083,0,0,0,0.0
TPS 084,0,0,0,0.0
TPS 085,0,0,0,0.0
TPS 086,56,82,75,213.0
TPS 087,0,0,0,0.0
TPS 088,0,0,0,0.0
TPS 089,0,0,0,0.0
TPS 090,0,0,0,0.0
TPS 091,0,0,0,0.0
TPS 092,0,0,0,0.0
TPS 093,0,0,0,0.0
TPS 094,0,0,0,0.0
TPS 095,48,163,18,229.0
TPS 096,0,0,0,0.0
TPS 097,87,172,25,284.0
TPS 098,0,0,0,0.0
TPS 099,0,0,0,0.0
TPS 100,0,0,0,0.0
TPS 101,0,0,0,0.0
