0,1,2,3,Total
0,0,0,0,0.0
0,0,0,0,0.0
TPS 001,0,0,0,0.0
TPS 002,0,0,0,0.0
TPS 003,0,0,0,0.0
TPS 004,70,152,9,231.0
TPS 005,0,0,0,0.0
TPS 006,16,90,12,118.0
TPS 007,0,0,0,0.0
TPS 008,49,146,21,216.0
TPS 009,39,115,7,161.0
TPS 010,0,0,0,0.0
TPS 011,62,143,5,210.0
TPS 012,55,144,17,216.0
TPS 013,66,136,21,223.0
TPS 014,0,0,0,0.0
TPS 015,0,0,0,0.0
TPS 016,0,0,0,0.0
TPS 017,0,0,0,0.0
TPS 018,94,132,20,246.0
TPS 019,58,170,10,238.0
TPS 020,59,169,13,241.0
TPS 021,86,100,42,228.0
TPS 022,57,168,11,236.0
TPS 023,0,0,0,0.0
TPS 024,85,135,17,237.0
TPS 025,86,446,13,545.0
TPS 026,0,0,0,0.0
TPS 027,105,117,12,234.0
TPS 028,0,0,0,0.0
TPS 029,105,91,50,246.0
TPS 030,0,0,0,0.0
TPS 031,101,97,45,243.0
TPS 032,80,73,38,191.0
TPS 033,52,126,17,195.0
TPS 034,65,123,16,204.0
TPS 035,0,0,0,0.0
TPS 036,0,0,0,0.0
TPS 037,0,0,0,0.0
TPS 038,52,115,19,186.0
TPS 039,0,0,0,0.0
TPS 040,0,0,0,0.0
TPS 041,0,0,0,0.0
TPS 042,0,0,0,0.0
TPS 043,0,0,0,0.0
TPS 044,86,79,34,199.0
TPS 045,85,161,14,260.0
TPS 046,0,0,0,0.0
TPS 047,103,133,15,251.0
TPS 048,0,0,0,0.0
TPS 049,0,0,0,0.0
TPS 050,0,0,0,0.0
TPS 051,0,0,0,0.0
TPS 052,0,0,0,0.0
TPS 053,0,0,0,0.0
TPS 054,0,0,0,0.0
TPS 055,0,0,0,0.0
TPS 056,0,0,0,0.0
