0,1,2,3,Total
0,0,0,0,0.0
0,0,0,0,0.0
TPS 001,0,0,0,0.0
TPS 002,81,147,820,1048.0
TPS 003,0,0,0,0.0
TPS 004,0,0,0,0.0
TPS 005,0,0,0,0.0
TPS 006,0,0,0,0.0
TPS 007,0,0,0,0.0
TPS 008,0,0,0,0.0
TPS 009,0,0,0,0.0
TPS 010,0,0,0,0.0
TPS 011,0,0,0,0.0
TPS 012,0,0,0,0.0
TPS 013,0,0,0,0.0
TPS 014,77,132,12,221.0
TPS 015,0,0,0,0.0
TPS 016,0,0,0,0.0
TPS 017,0,0,0,0.0
TPS 018,0,0,0,0.0
TPS 019,0,0,0,0.0
TPS 020,0,0,0,0.0
TPS 021,0,0,0,0.0
TPS 022,0,0,0,0.0
TPS 023,0,0,0,0.0
TPS 024,0,0,0,0.0
TPS 025,0,0,0,0.0
TPS 026,0,0,0,0.0
TPS 027,0,0,0,0.0
TPS 028,0,0,0,0.0
TPS 029,0,0,0,0.0
TPS 030,0,0,0,0.0
TPS 031,0,0,0,0.0
TPS 032,0,0,0,0.0
TPS 033,0,0,0,0.0
TPS 034,68,69,4,141.0
TPS 035,0,0,0,0.0
TPS 036,0,0,0,0.0
TPS 037,0,0,0,0.0
TPS 038,0,0,0,0.0
TPS 039,79,109,37,225.0
TPS 040,0,0,0,0.0
TPS 041,0,0,0,0.0
TPS 042,54,87,12,153.0
TPS 043,0,0,0,0.0
TPS 044,0,0,0,0.0
TPS 045,0,0,0,0.0
TPS 046,64,95,16,175.0
TPS 047,0,0,0,0.0
TPS 048,0,0,0,0.0
TPS 049,0,0,0,0.0
TPS 050,52,90,15,157.0
TPS 051,0,0,0,0.0
TPS 052,0,0,0,0.0
TPS 053,0,0,0,0.0
TPS 054,63,104,13,180.0
TPS 055,0,0,0,0.0
TPS 056,0,0,0,0.0
TPS 057,0,0,0,0.0
TPS 058,0,0,0,0.0
TPS 059,0,0,0,0.0
TPS 060,0,0,0,0.0
TPS 061,75,124,14,213.0
TPS 062,0,0,0,0.0
TPS 063,0,0,0,0.0
TPS 064,100,137,13,250.0
TPS 065,0,0,0,0.0
TPS 066,0,0,0,0.0
TPS 067,0,0,0,0.0
TPS 068,0,0,0,0.0
TPS 069,0,0,0,0.0
TPS 070,0,0,0,0.0
TPS 071,0,0,0,0.0
TPS 072,0,0,0,0.0
TPS 073,0,0,0,0.0
TPS 074,0,0,0,0.0
TPS 075,0,0,0,0.0
TPS 076,0,0,0,0.0
TPS 077,0,0,0,0.0
TPS 078,0,0,0,0.0
TPS 079,0,0,0,0.0
TPS 080,0,0,0,0.0
TPS 081,0,0,0,0.0
TPS 082,0,0,0,0.0
TPS 083,0,0,0,0.0
TPS 084,0,0,0,0.0
TPS 085,0,0,0,0.0
TPS 086,0,0,0,0.0
TPS 087,0,0,0,0.0
TPS 088,87,109,31,227.0
TPS 089,113,109,20,242.0
TPS 090,101,103,43,247.0
TPS 091,0,0,0,0.0
TPS 092,0,0,0,0.0
TPS 093,83,104,50,237.0
TPS 094,0,0,0,0.0
TPS 095,0,0,0,0.0
TPS 096,0,0,0,0.0
TPS 097,89,103,48,240.0
TPS 098,0,0,0,0.0
TPS 099,115,101,30,246.0
TPS 100,0,0,0,0.0
TPS 101,0,0,0,0.0
TPS 102,0,0,0,0.0
TPS 103,86,94,25,205.0
TPS 104,0,0,0,0.0
TPS 105,111,98,22,231.0
TPS 106,135,100,22,257.0
TPS 107,0,0,0,0.0
TPS 108,0,0,0,0.0
TPS 109,105,68,30,203.0
TPS 110,0,0,0,0.0
TPS 111,0,0,0,0.0
TPS 112,98,68,18,184.0
TPS 113,111,102,21,234.0
TPS 114,0,0,0,0.0
TPS 115,64,98,22,184.0
TPS 116,93,83,22,198.0
TPS 117,0,0,0,0.0
TPS 118,0,0,0,0.0
TPS 119,0,0,0,0.0
TPS 120,0,0,0,0.0
TPS 121,0,0,0,0.0
TPS 122,0,0,0,0.0
TPS 123,0,0,0,0.0
TPS 124,0,0,0,0.0
TPS 125,0,0,0,0.0
TPS 126,0,0,0,0.0
