0,1,2,3,Total
0,0,0,0,0.0
0,0,0,0,0.0
TPS 001,51,96,15,162.0
TPS 002,0,0,0,0.0
TPS 003,52,118,15,185.0
TPS 004,0,0,0,0.0
TPS 005,47,96,18,161.0
TPS 006,0,0,0,0.0
TPS 007,0,0,0,0.0
TPS 008,34,97,8,139.0
TPS 009,54,90,10,154.0
TPS 010,53,89,4,146.0
TPS 011,73,76,11,160.0
TPS 012,0,0,0,0.0
TPS 013,0,0,0,0.0
TPS 014,0,0,0,0.0
TPS 015,0,0,0,0.0
TPS 016,79,69,3,151.0
TPS 017,0,0,0,0.0
TPS 018,60,106,8,174.0
TPS 019,0,0,0,0.0
TPS 020,0,0,0,0.0
TPS 021,0,0,0,0.0
TPS 022,0,0,0,0.0
TPS 023,0,0,0,0.0
TPS 024,0,0,0,0.0
TPS 025,80,100,14,194.0
TPS 026,0,0,0,0.0
TPS 027,0,0,0,0.0
TPS 028,78,125,12,215.0
TPS 029,0,0,0,0.0
TPS 030,0,0,0,0.0
TPS 031,0,0,0,0.0
TPS 032,0,0,0,0.0
TPS 033,0,0,0,0.0
TPS 034,0,0,0,0.0
TPS 035,0,0,0,0.0
TPS 036,0,0,0,0.0
TPS 037,0,0,0,0.0
TPS 038,66,124,12,202.0
TPS 039,61,130,11,202.0
TPS 040,73,750,4,827.0
TPS 041,61,140,6,207.0
TPS 042,39,103,26,168.0
TPS 043,0,0,0,0.0
TPS 044,0,0,0,0.0
TPS 045,63,138,11,212.0
TPS 046,45,128,21,194.0
TPS 047,44,107,22,173.0
TPS 048,64,119,19,202.0
TPS 049,0,0,0,0.0
TPS 050,45,119,7,171.0
TPS 051,0,0,0,0.0
TPS 052,0,0,0,0.0
TPS 053,0,0,0,0.0
TPS 054,0,0,0,0.0
TPS 055,73,132,10,215.0
TPS 056,46,157,8,211.0
TPS 057,0,0,0,0.0
TPS 058,0,0,0,0.0
TPS 059,0,0,0,0.0
TPS 060,0,0,0,0.0
TPS 061,0,0,0,0.0
TPS 062,56,172,2,230.0
TPS 063,104,119,8,231.0
TPS 064,0,0,0,0.0
TPS 065,76,139,2,217.0
TPS 066,0,0,0,0.0
TPS 067,0,0,0,0.0
TPS 068,0,0,0,0.0
TPS 069,72,134,8,214.0
TPS 070,0,0,0,0.0
TPS 071,0,0,0,0.0
TPS 072,37,145,17,199.0
TPS 073,71,95,18,184.0
TPS 074,47,107,13,167.0
TPS 075,0,0,0,0.0
TPS 076,0,0,0,0.0
TPS 077,80,88,25,193.0
TPS 078,0,0,0,0.0
TPS 079,0,0,0,0.0
TPS 080,92,72,67,231.0
TPS 081,0,0,0,0.0
TPS 082,0,0,0,0.0
TPS 083,0,0,0,0.0
TPS 084,54,99,55,208.0
TPS 085,69,74,57,200.0
TPS 086,60,81,37,178.0
TPS 087,0,0,0,0.0
TPS 088,0,0,0,0.0
TPS 089,0,0,0,0.0
TPS 090,0,0,0,0.0
TPS 091,0,0,0,0.0
TPS 092,0,0,0,0.0
TPS 093,0,0,0,0.0
TPS 094,0,0,0,0.0
