0,1,2,3,Total
0,0,0,0,0.0
0,0,0,0,0.0
TPS 001,0,0,0,0.0
TPS 002,80,142,13,235.0
TPS 003,0,0,0,0.0
TPS 004,0,0,0,0.0
TPS 005,0,0,0,0.0
TPS 006,56,185,17,258.0
TPS 007,0,0,0,0.0
TPS 008,0,0,0,0.0
TPS 009,0,0,0,0.0
TPS 010,34,196,8,238.0
TPS 011,0,0,0,0.0
TPS 012,0,0,0,0.0
TPS 013,59,121,2,182.0
TPS 014,0,0,0,0.0
TPS 015,0,0,0,0.0
TPS 016,0,0,0,0.0
TPS 017,0,0,0,0.0
TPS 018,0,0,0,0.0
TPS 019,0,0,0,0.0
TPS 020,0,0,0,0.0
TPS 021,0,0,0,0.0
TPS 022,0,0,0,0.0
TPS 023,0,0,0,0.0
TPS 024,0,0,0,0.0
TPS 025,0,0,0,0.0
TPS 026,0,0,0,0.0
TPS 027,53,142,12,207.0
TPS 028,42,149,21,212.0
TPS 029,0,0,0,0.0
TPS 030,0,0,0,0.0
TPS 031,883,627,853,2363.0
