0,1,2,3,Total
0,0,0,0,0.0
0,0,0,0,0.0
TPS 001,0,0,0,0.0
TPS 002,0,0,0,0.0
TPS 003,77,147,15,239.0
TPS 004,0,0,0,0.0
TPS 005,55,650,20,725.0
TPS 006,73,145,24,242.0
TPS 007,0,0,0,0.0
TPS 008,65,154,25,244.0
TPS 009,0,0,0,0.0
TPS 010,0,0,0,0.0
TPS 011,0,0,0,0.0
TPS 012,0,0,0,0.0
TPS 013,0,0,0,0.0
TPS 014,0,0,0,0.0
TPS 015,0,0,0,0.0
TPS 016,0,0,0,0.0
TPS 017,0,0,0,0.0
TPS 018,96,142,10,248.0
TPS 019,78,140,13,231.0
TPS 020,0,0,0,0.0
TPS 021,0,0,0,0.0
TPS 022,78,134,7,219.0
TPS 023,75,126,17,218.0
TPS 024,0,0,0,0.0
TPS 025,58,135,25,218.0
TPS 026,0,0,0,0.0
TPS 027,0,0,0,0.0
TPS 028,79,92,45,216.0
TPS 029,94,113,29,236.0
