0,1,2,3,Total
0,0,0,0,0.0
0,0,0,0,0.0
TPS 001,0,0,0,0.0
TPS 002,15,177,38,230.0
TPS 003,0,0,0,0.0
TPS 004,0,0,0,0.0
TPS 005,0,0,0,0.0
TPS 006,0,0,0,0.0
TPS 007,0,0,0,0.0
TPS 008,4,202,39,245.0
TPS 009,0,0,0,0.0
TPS 010,0,0,0,0.0
TPS 011,0,0,0,0.0
TPS 012,0,0,0,0.0
TPS 013,0,0,0,0.0
TPS 014,0,0,0,0.0
TPS 015,0,0,0,0.0
TPS 016,14,147,40,201.0
TPS 017,0,0,0,0.0
TPS 018,7,110,88,205.0
TPS 019,0,0,0,0.0
TPS 020,2,190,15,207.0
TPS 021,27,137,27,191.0
TPS 022,0,0,0,0.0
TPS 023,75,176,70,321.0
TPS 024,10,141,34,185.0
TPS 025,0,0,0,0.0
