0,1,2,3,Total
0,0,0,0,0.0
0,0,0,0,0.0
TPS 001,0,0,0,0.0
TPS 002,17,136,27,180.0
TPS 003,0,0,0,0.0
TPS 004,34,158,29,221.0
TPS 005,0,0,0,0.0
TPS 006,73,97,25,195.0
TPS 007,0,0,0,0.0
TPS 008,60,137,27,224.0
TPS 009,42,474,32,548.0
TPS 010,26,193,36,255.0
TPS 011,0,0,0,0.0
TPS 012,57,148,42,247.0
TPS 013,0,0,0,0.0
TPS 014,0,0,0,0.0
TPS 015,0,0,0,0.0
TPS 016,0,0,0,0.0
TPS 017,0,0,0,0.0
TPS 018,31,152,30,213.0
TPS 019,18,157,33,208.0
TPS 020,0,0,0,0.0
TPS 021,0,0,0,0.0
TPS 022,0,0,0,0.0
TPS 023,0,0,0,0.0
TPS 024,0,0,0,0.0
TPS 025,0,0,0,0.0
TPS 026,0,0,0,0.0
TPS 027,0,0,0,0.0
TPS 028,0,0,0,0.0
TPS 029,0,0,0,0.0
TPS 030,34,121,17,172.0
