0,1,2,3,Total
0,0,0,0,0.0
0,0,0,0,0.0
TPS 001,0,0,0,0.0
TPS 002,67,107,40,214.0
TPS 003,0,0,0,0.0
TPS 004,44,124,42,210.0
TPS 005,0,0,0,0.0
TPS 006,0,0,0,0.0
TPS 007,48,108,16,172.0
TPS 008,0,0,0,0.0
TPS 009,0,0,0,0.0
TPS 010,0,0,0,0.0
TPS 011,822,854,882,2558.0
TPS 012,98,78,14,190.0
TPS 013,0,0,0,0.0
TPS 014,0,0,0,0.0
TPS 015,29,159,35,223.0
TPS 016,38,184,24,246.0
TPS 017,0,0,0,0.0
TPS 018,0,0,0,0.0
TPS 019,44,155,15,214.0
TPS 020,0,0,0,0.0
TPS 021,0,0,0,0.0
TPS 022,0,0,0,0.0
TPS 023,0,0,0,0.0
TPS 024,0,0,0,0.0
TPS 025,0,0,0,0.0
TPS 026,0,0,0,0.0
TPS 027,29,137,20,186.0
TPS 028,32,127,9,168.0
TPS 029,0,0,0,0.0
TPS 030,50,158,21,229.0
TPS 031,0,0,0,0.0
TPS 032,38,153,32,223.0
