0,1,2,3,Total
0,0,0,0,0.0
0,0,0,0,0.0
TPS 001,13,180,40,233.0
TPS 002,0,0,0,0.0
TPS 003,0,0,0,0.0
TPS 004,13,177,22,212.0
TPS 005,0,0,0,0.0
TPS 006,0,0,0,0.0
TPS 007,0,0,0,0.0
TPS 008,0,0,0,0.0
TPS 009,20,134,18,172.0
TPS 010,0,0,0,0.0
TPS 011,30,168,15,213.0
TPS 012,51,166,17,234.0
TPS 013,0,0,0,0.0
TPS 014,0,0,0,0.0
TPS 015,5,135,19,159.0
TPS 016,550,176,8,734.0
TPS 017,0,0,0,0.0
TPS 018,41,151,30,222.0
TPS 019,0,0,0,0.0
TPS 020,0,0,0,0.0
TPS 021,0,0,0,0.0
TPS 022,0,0,0,0.0
TPS 023,13,149,22,184.0
