0,1,2,3,Total
0,0,0,0,0.0
0,0,0,0,0.0
TPS 001,0,0,0,0.0
TPS 002,0,0,0,0.0
TPS 003,0,0,0,0.0
TPS 004,0,0,0,0.0
TPS 005,60,98,8,166.0
TPS 006,0,0,0,0.0
TPS 007,0,0,0,0.0
TPS 008,0,0,0,0.0
TPS 009,0,0,0,0.0
TPS 010,0,0,0,0.0
TPS 011,0,0,0,0.0
TPS 012,59,92,21,172.0
TPS 013,0,0,0,0.0
TPS 014,0,0,0,0.0
TPS 015,0,0,0,0.0
TPS 016,0,0,0,0.0
TPS 017,40,47,714,801.0
TPS 018,51,114,33,198.0
TPS 019,0,0,0,0.0
TPS 020,62,124,34,220.0
TPS 021,0,0,0,0.0
TPS 022,82,102,20,204.0
TPS 023,0,0,0,0.0
TPS 024,54,91,11,156.0
TPS 025,0,0,0,0.0
TPS 026,43,127,31,201.0
TPS 027,0,0,0,0.0
TPS 028,0,0,0,0.0
TPS 029,0,0,0,0.0
TPS 030,0,0,0,0.0
TPS 031,0,0,0,0.0
TPS 032,20,110,25,155.0
TPS 033,25,172,37,234.0
TPS 034,0,0,0,0.0
TPS 035,40,126,39,205.0
TPS 036,0,0,0,0.0
TPS 037,48,128,48,224.0
TPS 038,0,0,0,0.0
TPS 039,52,127,26,205.0
TPS 040,0,0,0,0.0
TPS 041,51,115,39,205.0
TPS 042,0,0,0,0.0
TPS 043,0,0,0,0.0
TPS 044,11,41,26,78.0
